epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,530.339,1.30582,1.13926,1.27485,0.57631,0.63797,0.64453,0.32496,1.69924,1.43891,1.54842,0.0004555,0.0004555,0.0004555
57,540.833,1.30482,1.14675,1.27584,0.63558,0.68284,0.71165,0.38723,1.56981,1.30116,1.50743,0.0004456,0.0004456,0.0004456
58,551.002,1.29612,1.11148,1.26669,0.64269,0.62776,0.67294,0.35427,1.64245,1.3707,1.52585,0.0004357,0.0004357,0.0004357
59,561.297,1.3014,1.12578,1.2804,0.58655,0.67487,0.66973,0.34078,1.66509,1.35968,1.54354,0.0004258,0.0004258,0.0004258
60,571.69,1.29942,1.11725,1.26596,0.60768,0.65776,0.6995,0.36304,1.62015,1.38905,1.50811,0.0004159,0.0004159,0.0004159
61,581.105,1.27943,1.10299,1.26764,0.56946,0.68941,0.67808,0.34678,1.64022,1.36688,1.50961,0.000406,0.000406,0.000406
62,589.791,1.27114,1.10105,1.26065,0.60156,0.64838,0.66262,0.34753,1.65905,1.37014,1.53218,0.0003961,0.0003961,0.0003961
63,598.568,1.27765,1.08873,1.26064,0.59309,0.6701,0.69389,0.3554,1.65124,1.3957,1.52785,0.0003862,0.0003862,0.0003862
64,607.384,1.27359,1.09033,1.25576,0.67373,0.6635,0.71376,0.37627,1.60621,1.32669,1.50572,0.0003763,0.0003763,0.0003763
65,616.066,1.29212,1.10145,1.26389,0.64099,0.65563,0.698,0.36095,1.61774,1.32654,1.53004,0.0003664,0.0003664,0.0003664
66,624.854,1.28386,1.09358,1.26091,0.62497,0.65223,0.6783,0.35436,1.64336,1.37889,1.54006,0.0003565,0.0003565,0.0003565
67,634.427,1.27538,1.09293,1.26696,0.62825,0.63635,0.67788,0.35119,1.67058,1.39362,1.54561,0.0003466,0.0003466,0.0003466
68,645.274,1.26792,1.09453,1.26521,0.64817,0.67145,0.7039,0.37149,1.60104,1.30987,1.50777,0.0003367,0.0003367,0.0003367
69,656.572,1.26966,1.1053,1.26343,0.60368,0.63812,0.6604,0.3425,1.64174,1.39543,1.52143,0.0003268,0.0003268,0.0003268
70,667.318,1.25033,1.06272,1.24419,0.59595,0.67276,0.67284,0.3546,1.59412,1.36886,1.5187,0.0003169,0.0003169,0.0003169
71,676.236,1.24643,1.05587,1.24322,0.64675,0.63713,0.67674,0.35595,1.6463,1.35344,1.53788,0.000307,0.000307,0.000307
72,685.077,1.24693,1.03866,1.24483,0.59431,0.6761,0.68822,0.35938,1.63067,1.30931,1.50884,0.0002971,0.0002971,0.0002971
73,694.941,1.25597,1.06327,1.2527,0.69125,0.63694,0.70057,0.37452,1.59122,1.30263,1.48651,0.0002872,0.0002872,0.0002872
74,704.967,1.26404,1.06202,1.25181,0.60281,0.66844,0.69578,0.35403,1.67048,1.30348,1.53291,0.0002773,0.0002773,0.0002773
75,715.051,1.25343,1.0557,1.25036,0.6158,0.69796,0.71852,0.38488,1.59392,1.28387,1.50054,0.0002674,0.0002674,0.0002674
76,725.519,1.25349,1.07761,1.25872,0.64802,0.63825,0.68186,0.36464,1.6032,1.30009,1.51087,0.0002575,0.0002575,0.0002575
77,736.792,1.26126,1.07318,1.25734,0.64231,0.63777,0.68707,0.36518,1.62726,1.30943,1.52095,0.0002476,0.0002476,0.0002476
78,747.77,1.26894,1.06352,1.25984,0.59381,0.61946,0.64243,0.34994,1.64025,1.37869,1.52541,0.0002377,0.0002377,0.0002377
79,757.894,1.21244,1.02098,1.22997,0.63555,0.67217,0.70423,0.37113,1.60732,1.31101,1.51056,0.0002278,0.0002278,0.0002278
80,768.008,1.24692,1.0546,1.25068,0.57565,0.66797,0.66211,0.33532,1.69502,1.41137,1.54963,0.0002179,0.0002179,0.0002179
